Name,IrsSubsection,Location,Ein,Mission
Assumption University,501(c)(3) Public Charity,"Worcester, MA",04-2105776,"assumption college, a catholic institution sponsored by the augustinians of the assumption and rooted in the catholic intellectual tradition, strives to form graduates known for critical intelligence, thoughtful citizenship and compassionate service. we pursue these ambitious goals through a curriculum grounded in the liberal arts and extending to the domain of professional studies. enlivened by the catholic affirmation of the harmony of faith and reason, we aim, by the pursuit of the truth, to transform the minds and hearts of students. assumption favors diversity and ecumenically welcomes all who share its goals."
Massachusetts Mutual Employee Health Benefit Tr,501(c)(9) Employees Associations,"Springfield, MA",22-6463418,"the employee health trust was established to hold health plan assets the health plan provides medical, dental, and vision benefits to eligible employees and eligible retirees of massmutual life insurance company and related members of its controlled group that have adopted the plan"
New England Center for Children Inc,501(c)(3) Public Charity,"Southborough, MA",04-2708762,"the new england center for children® is a private, nonprofit autism education and research center dedicated to our mission: to transform the lives of children with autism worldwide through education, research, and technology."
"Fenway Community Health Center, Inc.",501(c)(3) Public Charity,"Boston, MA",04-2510564,"the mission of fenway health is to enhance the wellbeing of the lgbtqia+ community and all people in our neighborhoods and beyond through access to the highest quality health care, education, research, and advocacy."
"Behavioral Health Network, Inc.",501(c)(3) Public Charity,"Springfield, MA",04-2103756,"the bhn mission is to help individuals, families, and communities improve the quality of lives for those with behavioral and developmental challenges."
"The Greater Boston Food Bank, Inc.",501(c)(3) Public Charity,"Boston, MA",04-2717782,the greater boston food bank's mission is to end hunger here in eastern massachusetts. our objective is to distribute enough food to provide at least one meal a day to those in need.
Klarman Family Foundation,501(c)(3) Private Non-Operating Foundation,"Boston, MA",04-3105768,this organization has not provided guidestar with a mission statement.
EMMANUEL COLLEGE,501(c)(3) Public Charity,"Boston, MA",04-2105769,"the mission of emmanuel—and its identity as a catholic college, university in breadth and inclusive of all— is to provide a dynamic education in the liberal arts and sciences within a learning community shaped by strong ethical values."
Beth Israel Deaconess Hospital - Needham Inc,501(c)(3) Public Charity,"Needham, MA",04-3229679,see schedule o.
CENTER FOR HUMAN DEVELOPMENT INC,501(c)(3) Public Charity,"Springfield, MA",04-2503926,our mission
Baystate Franklin Medical Center,501(c)(3) Public Charity,"Greenfield, MA",04-2103575,"the mission of the organization is to improve the health of the people in our communities every day, with quality and compassion."
United Brotherhood of Carpenters & Joiners of America,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Dorchester, MA",04-3322535,promote union construction and represent the interests of our members
Rare Disease Charitable Foundation,501(c)(3) Private Operating Foundation,"Lexington, MA",45-3132103,this organization has not provided guidestar with a mission statement.
Community Teamwork Inc 1,501(c)(3) Public Charity,"Lowell, MA",04-2382027,"the mission of community teamwork, inc. is to assist low-income people to become self-sufficient, to alleviate the effects of poverty, and to assist low-income people to participate in the decisions that affect their lives."
Boston Symphony Orchestra Inc,501(c)(3) Public Charity,"Boston, MA",04-2103550,"the mission of the boston symphony orchestra is to foster and maintain an organization dedicated to the making of music consonant with the highest aspirations of the musical art, creating performances and providing educational and training programs at the highest level of excellence."
Whidden Memorial Hospital Inc,501(c)(3) Public Charity,"Malden, MA",04-3561265,"provides management and support personnel to and holds the real estate for its parent cha, in furtherance of cha's mission. please see schedule o for remainder of disclosure."
Community Day Care Center of Lawrence Inc.,501(c)(3) Public Charity,"Lawrence, MA",04-2473133,"the mission of the community group is to create, manage, and nurture high quality programs focused on education and related services that support families."
Lasell University,501(c)(3) Public Charity,"Auburndale, MA",04-2103585,we immerse students in experiential and collaborative learning that fosters lifelong intellectual exploration and social responsibility.
Regis College,501(c)(3) Public Charity,"Weston, MA",04-2104451,"rooted in the catholic intellectual tradition and inspired by the social justice values of our founders, the sisters of sisters of st. joseph of boston, regis college is a welcoming and inclusive community. we are called to provide access to an academically rigorous education through innovative learning opportunities and collaborative engagement at all degree levels. we educate the whole person, preparing our students to pursue excellence, to become change agents in their own communities, and to serve and lead as advocates for a more just and compassionate global society."
Gordon College,501(c)(3) Public Charity,"Wenham, MA",04-2104258,"gordon college strives to graduate men and women distinguished by  intellectual maturity and christian character, committed to lives of  service and prepared for leadership worldwide."
BROCKTON AREA MULTI SERVICES MULTISERVICES INC,501(c)(3) Public Charity,"Brockton, MA",04-2562377,"bamsi is one of the largest minority, non-profit, human service organizations in massachusetts.  bamsi's mission is to empower people and enrich their lives, through compassionate support and diverse services, one individual, one family at a time.  "
Hampshire College Trustees,501(c)(3) Public Charity,"Amherst, MA",04-6130872,"the mission of hampshire college is to foster a lifelong passion for learning, inquiry, and ethical citizenship that inspires students to contribute to knowledge, justice, and positive change in the world and, by doing so, to transform higher education."
Adelson Family Foundation,501(c)(3) Private Non-Operating Foundation,"Needham Heights, MA",04-7024330,this organization has not provided guidestar with a mission statement.
Milton Academy,501(c)(3) Public Charity,"Milton, MA",04-2103603,"milton academy cultivates in its students a passion for learning and a respect for others.  embracing diversity and the pursuit of excellence, we create a community in which individuals develop competence, confidence and character.  our active learning environment, in and out of the classroom, develops creative and critical thinkers, unafraid to express their ideas, prepared to seek meaningful lifetime success and to live by our motto, ""dare to be true."""
Element Care Inc,501(c)(3) Public Charity,"Lynn, MA",04-3267751,provide healthcare and social services to frail participants in the northshore and merrimack valley communities by keeping them at home with dignity and respect.
Oxfam America OxfamAmerica Inc.,501(c)(3) Public Charity,"Boston, MA",23-7069110,"oxfam is a global organization to end the injustice of poverty. we help people build better futures for themselves, hold the powerful accountable, and save lives in disasters. our mission is to tackle the root causes of poverty and create lasting solutions. join us: oxfamamerica.org."
Advocates,501(c)(3) Public Charity,"Framingham, MA",23-7451423,"advocates' mission is: we partner with individuals, families, and communities to shape  creative solutions to even the greatest life challenges. first we listen.   then, together, we do what it takes to help people thrive. we envision  communities in which every person has a full life, decent and affordable  housing, meaningful work, satisfying relationships, and good health. there will  be social, economic, and health justice, a place for all of us to thrive and  opportunities for everyone to make a contribution."
Medical Care of Boston Management Corporation,501(c)(3) Public Charity,"Needham Heights, MA",04-2810972,see schedule o.
Dana Farber Partners Cancer Care Inc,501(c)(3) Public Charity,"Boston, MA",04-3320640,"coordination of oncology clinical research, education and programs across dana-farber, massachusetts general hospital and brigham and women's hospital"
Baystate Wing Hospital Corporation,501(c)(3) Public Charity,"Palmer, MA",22-2519813,"the mission of the organization is to improve the health of the people in our communities every day, with quality and compassion."
Trustees of Deerfield Academy,501(c)(3) Public Charity,"Deerfield, MA",04-2103563,"deerfield academy is an independent secondary school committed to high standards of scholarship, citizenship, and personal responsibility. through a rigorous liberal arts curriculum, extensive co-curricular program, and supportive residential environment, deerfield encourages each student to develop an inquisitive and creative mind, sound body, and strong moral character."
Museum of Science,501(c)(3) Public Charity,"Boston, MA",04-2103916,"the museum's mission is to play a leading role in transforming the nation's relationship with science and technology. this role becomes ever more important as science and technology shape and reshape our lives and world, and it means we: 

promote active citizenship informed by the world of science and technology; 

inspire lifelong appreciation of the importance and impact of science and engineering; and 

encourage young people of all backgrounds to explore and develop their interests in understanding the natural and human-made world. 

to do this, we will continue to build our position as a leader in the world's museum community and use our educational perspective as an informal learning institution to help the formal pre k-12 education system."
Whitehead Institute for Biomedical Research,501(c)(3) Public Charity,"Cambridge, MA",06-1043412,“to explore biology’s most fundamental questions for the betterment of humanity”
SOUTH MIDDLESEX OPPORTUNITY COUNCIL INC,501(c)(3) Public Charity,"Framingham, MA",04-2389659,smoc's mission is to improve the quality of life of low-income and disadvantaged individuals and families by advocating for their needs and rights; providing services; educating the community; building a community of support; participating in coalitions with other advocates and searching for new resources and partnerships.
John Hancock Mutual Life Insurance Company Empl Welfare Trust,501(c)(9) Employees Associations,"Boston, MA",04-3105469,this organization has not provided guidestar with a mission statement.
American International College,501(c)(3) Public Charity,"Springfield, MA",04-2103701,"the mission of american international college is to prepare students for personal fulfillment, professional achievement, and civic engagement through educational experiences that transform lives. academic programs founded on the knowledge,skills, and values of the liberal arts engage students in theory and emphasize applied learning, while preparing them for the challenges and opportunities presented in the global environment. committed to the intrinsic worth of each individual, aic prepares students for life!"
"Lynn Community Health, Inc.",501(c)(3) Public Charity,"Lynn, MA",04-2525066,"the lynn community health center's mission is to provide comprehensive health care of the highest quality for everyone in the greater lynn community, regardless of ability to pay, targeting populations that experience the greatest barriers to care: children, teens, the poor, minorities, non-english speaking, and the frail elderly. our goal is to improve the health of our community. access to quality and comprehensive health care allows children to focus on success in school and adults to raise healthy families, pursue gainful employment, and become productive members of our society; ultimately resulting in a stronger, more vibrant community."
National Fire Protection Association,501(c)(3) Public Charity,"Quincy, MA",04-1653090,"advocate for the elimination of death, injury, property and economic loss due to fire, electrical and related hazards."
Massachusetts Society for the Prevention of Cruelty to Animals,501(c)(3) Public Charity,"Jamaica Plain, MA",04-2103597,"the mission of the massachusetts society for the prevention of cruelty to animals-angell animal medical center is to protect animals, relieve their suffering, advance their health and welfare, prevent cruelty, and work for a just and compassionate society."
Massachusetts Mutual Agents Health Benefit Trust,501(c)(9) Employees Associations,"Springfield, MA",22-2553157,"the agent health trust was established to hold the health plan assets. the healthflanjprovides medical, dental, and vision benefits covering agents of massmutual life insurance company who enter into a full time career contract as well as general agents and retired agents ii"
Riverside Community Care Inc,501(c)(3) Public Charity,"Dedham, MA",04-3097170,"we make a difference in the lives of individuals, families, and communities through innovative and compassionate behavioral healthcare and human services, and we use technology to improve access to quality care and expand our impact.

we believe that:

hope is an essential element of our work, quality care should be available to all, excellence must be a guiding force in everything we do, advocacy on healthcare and human services is our responsibility, a diverse and respectful workforce is essential to attaining our mission."
Dana Farber DanaFarber Inc,501(c)(3) Public Charity,"Boston, MA",04-3102433,"the purpose and activities of dana-farber, inc. are to promote and support the exempt missions of dana-farber cancer institute and to provide investment management services to support such purposes."
"Joslin Diabetes Center, Inc.",501(c)(3) Public Charity,"Boston, MA",04-2203836,"joslin diabetes center is the preeminent diabetes research center, diabetes clinic, and provider of diabetes education. joslin is unique in its sole focus on diabetes with the world's largest team of board-certified physicians treating diabetes and its complications, as well as the largest staff of certified diabetes educators anywhere in the world. joslin is dedicated to finding a cure for diabetes and ensuring that people with diabetes live long, healthy lives."
Northeast Behavioral Health Corporation,501(c)(3) Public Charity,"Danvers, MA",04-2777145,"  to provide personal, compassionate, state-of-the-art integrated behavioral healthcare that makes a difference in the lives of the people and communities we serve. "
Metro Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Chelsea, MA",04-1695745,see disclosure in schedule o
Signature Healthcare Medical Group Inc,501(c)(3) Public Charity,"Brockton, MA",04-3306782,"to support the medical, educational, scientific and charitable purpose of brockton hospital by improving access to medical care provided by the hospital."
Harbor Health Services Inc,501(c)(3) Public Charity,"Mattapan, MA",23-7100550,"harbor health services, inc. helps individuals and communities achieve their full potential through access to local, affordable services that promote health.vision: everyone in our communities is empowered to lead a healthy, independent, and fulfilled life.values: -innovation: we are pioneers in community health. we are a learning organization that celebrates efforts to adapt to the changing needs of our communities and health care environment. -community: we partner with organizations and individuals in our communities, because improving health means more than providing great health care. -responsiveness: we create impact that meets the needs of those we serve and eradicates sources of health inequity in our communities. -diversity: we gather strength and insight from the varied cultures and experiences of our communities and colleagues. -quality: we set clear, aspirational goals. we promote transparency and accountability in the pursuit of exceptional performance."
Workers Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Fitchburg, MA",04-2079901,the organization is a state chartered credit union that serves members who live or work in massachusetts.
YMCA of Greater Boston,501(c)(3) Public Charity,"Boston, MA",04-2103551,"the ymca of greater boston is dedicated to improving the health of mind, body and spirit of individuals and families in our communities. we welcome men and women, boys and girls of all incomes, faiths and cultures."
Brooksby Village Inc,501(c)(3) Public Charity,"Peabody, MA",52-2126755,our mission is to promote an active and engaged quality of life for seniors and to achieve excellence in services and programs with unmatched value for our present and future residents. we work to maintain affordability and life long commitment for middle income seniors while ensuring the long-term financial stability of the community.
Physicians Organization at Childrens Hospital Inc,501(c)(3) Public Charity,"Boston, MA",04-3266103,"the organization operates exclusively for the benefit of the charitable purposes of boston children's hospital (the hospital) and the affiliated foundations. it works jointly with the hospital and the foundations in developing and coordinating an (see schedule o) integrated child health system and to foster cost effective, quality patient care within that system. the organization negotiates and enters into agreements with insurers, payors, managed care plans, and fringe benefit plans on behalf of its member foundations."
Spectrum Health Systems Inc,501(c)(3) Public Charity,"Worcester, MA",04-2478978,"to provide the highest quality of services to individuals seeking treatment for substance abuse and/or mental health issues. we assist our clients in achieving sobriety, sustaining recovery and fulfilling personal goals in order that they may lead healthier, more productive lives."
High Point Treatment Center,501(c)(3) Public Charity,"New Bedford, MA",04-3357938,the organization's mission is to provide substance abuse treatment and transitional support.
South Shore Medical Center,501(c)(3) Public Charity,"Norwell, MA",04-2297845,south shore medical center delivers effective and compassionate patient care with the highest medical and ethical standards. we build a better future for the communities we serve through teaching and leadership in healthcare innovation.
"Mystic Valley Elder Services, Inc.",501(c)(3) Public Charity,"Malden, MA",04-2562646,"the mission of mystic valley elder services is to support the rights of older adults and adults living with disabilities to live independently with dignity in a setting of their choice by providing them and caregivers with information, advice, and access to quality services and resources."
Baystate Health Systems Inc Health & Welfare Benefits Plan,501(c)(9) Employees Associations,"Springfield, MA",22-2531644,the organization is a voluntary employees' benefit association (veba)
Mount Auburn Professional Services Inc,501(c)(3) Public Charity,"Cambridge, MA",04-3026897,see schedule o.
Partners Healthcare System Inc,501(c)(3) Public Charity,"Boston, MA",04-2785453,see schedule o.
Becker College,501(c)(3) Public Charity,"Worcester, MA",04-2108346,"the mission of becker college is to deliver to each student a transformational learning experience - anchored by academic excellence, social responsibility, and creative expression - that prepares graduates to thrive, contribute to, and lead in a global society."
Milford Regional Physician Group Inc,501(c)(3) Public Charity,"Milford, MA",04-3159969,"our primary mission at milford regional healthcare system, which includes milford regional medical center and milford regional physician group, is to provide exceptional healthcare services to all individuals in our community with dignity, compassion and respect."
TSNE MissionWorks,501(c)(3) Public Charity,"Boston, MA",04-2261109,"through our mix of capacity building services, tsne supports the people and organizations that improve our communities and create social change. for 60 years, tsne has served organizations that create social good through strong values-based capacity building that allows them to focus on achieving their missions. we envision a society where community-based organizations take the lead in shaping our country’s future, and where individuals can hold responsible and accountable the systems that affect their lives."
Judge Rotenberg Educational Center Inc,501(c)(3) Public Charity,"Canton, MA",04-2489805,"to provide residential and day treatment programs for children and adults with developmental delays, mental retardation, and emotional or behavioral disorders."
Care Dimensions (Hospice of the North Shore & Greater Boston),501(c)(3) Public Charity,"Danvers, MA",22-2873792,"care dimensions enriches quality of life for those affected by life-limiting illness, death and loss by providing exceptional care, support, education and consultation."
"Bridgewell, Inc.",501(c)(3) Public Charity,"Peabody, MA",04-2296940,bridgewell inspires hope and empowers people experiencing life challenges to achieve their fullest potential.
Way Finders,501(c)(3) Public Charity,"Springfield, MA",04-2518368,way finders lights pathways and opens doors to homes and communities where people thrive.
Perkins School for the Blind,501(c)(3) Public Charity,"Watertown, MA",04-2103616,"the perkins school for the blind mission is to prepare children and young adults who are blind, deafblind, or visually impaired, including those who have additional disabilities, with the education, confidence, and skills they need to realize their potential."
Bay Path University,501(c)(3) Public Charity,"Longmeadow, MA",04-2103865,"bay path university education empowers undergraduate women and graduate women and men to become leaders in their careers and communities with an innovative approach to learning that prepares students to flourish in a constantly changing world. (see sch o).the bay path experience is nothing less than transformational. our women-only undergraduate programs and our coeducational graduate programs are offered both on-campus and online, providing a flexible, 21st-century education for learners at all stages of life and career. bay path students find a supportive and diverse community, close mentoring, and rigorous preparation for success in a complex and globally interdependent society. students graduate with the applied knowledge, portable skillset, and confidence to thrive in their professions, identify and realize their dreams, and make a lasting difference in the world."
Dedham Medical Associates Inc,501(c)(3) Public Charity,"Dedham, MA",04-3136240,see statement 1 at schedule o
New England Farm Workers Council Inc,501(c)(3) Public Charity,"Springfield, MA",06-0872959,human welfare organization
Phillip and Susan Ragon Foundation,501(c)(3) Private Non-Operating Foundation,"Cambridge, MA",05-0547000,this organization has not provided guidestar with a mission statement.
Dean College,501(c)(3) Public Charity,"Franklin, MA",04-2104149,"dean college is a private, residential new england college grounded in a culture and tradition that all students deserve the opportunity for academic and personal success. a uniquely supportive community for more than 150 years, dean has woven together extensive student support and engagement with exceptional teaching and innovative campus activities. our graduates are lifetime learners who thrive in their careers, embrace social responsibility and demonstrate leadership. this is the dean difference."
"Elder Services of the Merrimack Valley, Inc.",501(c)(3) Public Charity,"Lawrence, MA",04-2545136,"elder services of the merrimack valley, inc. is a private non-profit agency serving older adults and adults with disabilities who reside in northeast massachusetts. established in 1974, our mission is to support an individual's desire to make their own decisions, secure their independence, and remain living in the community safely."
People Acting in Community Endeavors Inc,501(c)(3) Public Charity,"New Bedford, MA",04-2777810,"pace, inc. delivers innovative and effective services to members of the greater new bedford community in their pursuit of brighter futures. since 1982, pace inc. has developed a reputation of responding to community needs, providing high quality programs for struggling people and families, developing strategies for empowering people and working cooperatively with both the non-profit and for profit communities."
Preservation of Affordable Housing Inc,501(c)(3) Public Charity,"Boston, MA",31-1616634,poah was formed to preserve and create affordable housing for persons in need of such housing.
Greater Lynn Senior Services,501(c)(3) Public Charity,"Lynn, MA",04-2581129,"we believe in the value and integrity of the whole person and base all our activities on this fundamental concept. greater lynn senior services (glss) exists to provide, advocate for, and ensure the provision of a complete and interwoven array of social services, health services, education, and recreational programs for older people in our community in lynn, lynnfield, nahant, saugus and swampscott. glss is committed to the active participation and self determination of seniors in life decisions, and to excellence and mutual respect in all its work."
CENTRAL BOSTON ELDER SERVICES INC,501(c)(3) Public Charity,"Roxbury, MA",04-2546441,"the mission of central boston elder services is to provide high quality, responsive, supportive services and programs to the elderly and the disabled in need of health and human services. central boston elder services seeks in its philosophy to provide services in a manner that reinforces the dignity and worth of the individuals and also acknowledges and respects cultural sensitivity, gender, and other differences while serving the community with vision and integrity.

we are committed to partnering with families, caregivers, and community entities that embrace the philosophy and our mission to reduce social, economic, and health disparities."
GREATER LAWRENCE FAMILY HEALTH CENTER INC,501(c)(3) Public Charity,"Methuen, MA",04-2708824,"to improve and maintain the health of individuals and families in the merrimack valley region of massachusetts by providing a network of high quality, comprehensive health care services and by training health care professionals who can respond to the needs of culturally diverse populations"
Bhs Management Services Inc,501(c)(3) Public Charity,"Pittsfield, MA",22-2755258,to provide management services to not-for-profit corporations including controlled affiliates of berkshire health systems
"Action, Inc.",501(c)(3) Public Charity,"Gloucester, MA",04-2389332,"action, inc.'s mission is to create opportunities that promote a thriving cape ann for all."
Franciscan Children's (Franciscan Hospital for Children Inc),501(c)(3) Public Charity,"Brighton, MA",04-2156082," we provide a compassionate and positive environment where children with complex medical, mental health and educational needs receive specialized care from people who are committed to excellence, innovation and family support… so that children can reach their fullest potential and live their best life. "
"Servicenet, Inc.",501(c)(3) Public Charity,"Northampton, MA",04-2526194,"the mission of servicenet is to enhance the quality of life of adults, children and families, through the provision of effective and responsive clinical, residential, rehabilitative, recovery and support services."
New England Conservatory of Music,501(c)(3) Public Charity,"Boston, MA",23-7225104,"new england conservatory of music (nec) educates and trains musicians of all ages from around the world, drawing on the talent and deep reservoir of experience of our faculty. we are dedicated to instilling the highest standards of excellence and nurturing individual artistic sensibility and creative growth. understanding that music is one of the transcendent expressions of human civilization, nec aspires to ensure it a central place in contemporary society."
Institute for Healthcare Improvement,501(c)(3) Public Charity,"Boston, MA",38-3017223,"ihi is a leading innovator in health and health care improvement worldwide. for more than 25 years, we have partnered with visionaries, leaders, and front-line practitioners around the globe to spark bold, inventive ways to improve the health of individuals and populations. recognized as an innovator, convener, trustworthy partner, and driver of results, we are the first place to turn for expertise, help, and encouragement for anyone, anywhere who wants to change health and health care profoundly for the better. to advance our mission, ihi’s work is focused in five key areas: improvement capability; person- and family-centered care; patient safety; quality, cost, and value; and triple aim for populations. learn more at ihi.org"
Childrens Orthopaedic Surgery Foundation Inc,501(c)(3) Public Charity,"Boston, MA",04-2943146,"the foundation provides orthopaedic surgery services to patients at boston children's hospital and at satellite locations. the mission strives to provide care for patients with a wide range of developmental, congenital, neuromuscular, and post (see schedule o) traumatic problems of the musculoskeletal system. the foundation also provides care for patients in need of orthopaedic services, regardless of their ability to pay."
Sturdy Memorial Associates Inc,501(c)(3) Public Charity,"Attleboro, MA",04-2709501,the associates' primary purpose is to expand and improve the availability of quality medical care in the sturdy memorial hospital service area.
Jeanne Darc Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Lowell, MA",04-1231965,see schedule o
Nichols College,501(c)(3) Public Charity,"Dudley, MA",04-2104778,nichols college's primary objective centers on the intellectual and professional development of each student.
Pine Street Inn,501(c)(3) Public Charity,"Boston, MA",04-2516093,"pine street inn partners with homeless individuals to help them move from the streets and shelter to a home and assists formerly homeless individuals in retaining housing. we provide street outreach, emergency services, supportive housing, job training and connections to employment. we tirelessly advocate for collaborative solutions to end homelessness.  our vision is a permanent home and community for everyone. our values are community, teamwork, accountability and respect."
Fairview Hospital,501(c)(3) Public Charity,"Pittsfield, MA",04-2133860,"the mission of fairview hospital is to improve the health of all people in the berkshires & surrounding communities, regardless of their ability to pay."
Northfield Mount Hermon School,501(c)(3) Public Charity,"Mount Hermon, MA",04-2109865,"northfield mount hermon provides secondary school education, engaging the intellect, compassion, and talents of our students, empowering them to act with humanity and purpose."
Boston Childrens Heart Foundation,501(c)(3) Public Charity,"Boston, MA",04-2790699,the foundation provides cardiology services primarily to patients at boston children's hospital and at satellite locations. the foundation carries on and promotes basic and applied medical research and education in the field of cardiology by teaching (see schedule o) students and other medical and scientific personnel. the foundation also provides care for patients regardless of their ability to pay.
Mount Ida College,501(c)(3) Public Charity,"Foxboro, MA",04-2104736,"mount ida college provides a diverse community of learners a challenging education that blends the liberal arts with professional preparation. we dedicate our energy, imagination, and resources to empowering all students to achieve academically and contribute responsibly in a changing world."
Edx Inc,501(c)(3) Public Charity,"Cambridge, MA",46-0807740,the edx mission is to expand access to education and become a leading resource for learners and learning worldwide by providing and enhancing teaching and learning on campus and online through advanced technologies and research.
PAN MASSACHUSETTS CHALLENGE TRUST,501(c)(3) Public Charity,"Needham Heights, MA",04-2746912,"the mission of the pan-massachusetts challenge is to raise money for life-saving cancer care and research at dana-farber cancer institute through its jimmy fund. the catalyst for the fundraising effort is a bike-a-thon that crosses the commonwealth of massachusetts.   committed cyclists, volunteers, corporate sponsors, and individual financial contributors are essential to the pmc achieving this goal. since its founding in 1980, the pmc has been increasingly successful in mobilizing the support of all these constituencies. we strive to inspire even more proponents of our cause and intend the money we raise to afford dana-farber's doctors and researchers the resources necessary to discover cures for all cancers."
Old Colony YMCA,501(c)(3) Public Charity,"Brockton, MA",04-2125014,"the 2,663 ymcas across the country collectively make up the largest nonprofit community service organization in america.  ymcas work to meet the health and social service needs of more than 20 million men, women, and children in more than 10,000 communities nationwide. "
International Union of Operating Engineers,501(c)(9) Employees Associations,"Medway, MA",04-6040880,to provide health and welfare benefits
Linden Ponds Inc,501(c)(3) Public Charity,"Hingham, MA",14-1849849,our mission is to promote an active and engaged quality of life for seniors and to achieve excellence in services and programs with unmatched value for our present and future residents. we work to maintain affordability and lifelong commitment for middle income seniors while ensuring the long-term financial stability of the community.
UAW Retiree Medical Benefits Tr,501(c)(9) Employees Associations,"Detroit, MI",90-0424876,to provide every member with health benefits and the opportunity to achieve their best quality of life.
Blue Care Network of Michigan,501(c)(4) Civic Leagues and Social Welfare Organizations,"Southfield, MI",38-2359234,"blue care network provides health care services to subscribers through contracts it has entered into with various physician groups, hospitals, and other health care providers."
Spectrum Health System,501(c)(3) Public Charity,"Grand Rapids, MI",61-1740292,"to improve health, inspire hope and save lives."
Priority Health,501(c)(4) Civic Leagues and Social Welfare Organizations,"Grand Rapids, MI",38-2715520,"to improve the health, and therefore the lives, of the members and communities we serve."
Henry Ford Health System,501(c)(3) Public Charity,"Detroit, MI",38-1357020,"as one of the nation's leading integrated health systems, it is the mission of henry ford health system to improve human life through the excellence of the science and art of health care and healing. since its founding in 1915, hfhs has been committed to providing health services and improving the quality of life of all of the citizens of the communities it serves regardless of their financial circumstances. the organization provides health care delivery, including acute, specialty, primary and preventative care services backed by excellence in research and education."
William Beaumont Hospital,501(c)(3) Public Charity,"Southfield, MI",38-1459362,beaumont's mission is to provide the highest quality health care services to all of our patients regardless of where they live or their financial circumstances.
Trinity Health Michigan HealthMichigan,501(c)(3) Public Charity,"Livonia, MI",38-2113393,"we, trinity health-michigan and trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities. trinity health-michigan is a member of trinity health."
Delta Dental Plan of Michigan,501(c)(4) Civic Leagues and Social Welfare Organizations,"Lansing, MI",38-1791480,"see schedule odelta dental of michigan's mission is to advance and promote the improvement of oral health through dental services through contracts with independent professional service providers, support for research and education, and community outreach directed toward securing access to quality dental care for all. delta dental of michigan is governed by a board of directors controlled by independent members of the community and it offers enrollment in oral health plans to a broad base of the community through a variety of payment models."
Trinity Health Corporation,501(c)(3) Public Charity,"Livonia, MI",35-1443425,"we, trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities."
Michigan Catastrophic Claims Association U S,"501(c)(6) Business Leagues, etc.","Livonia, MI",38-2227794,see schedule o
Health Alliance Plan of Michigan,501(c)(4) Civic Leagues and Social Welfare Organizations,"Detroit, MI",38-2242827,to improve the health status of the residents in all of the communities we serve. we accomplish this through innovative programs to provide health care coverage with an emphasis on preventative care as well as outreach programs to the communities aimed at enhancing and promoting healthier communities.
Oakwood Healthcare Inc,501(c)(3) Public Charity,"Southfield, MI",38-1405141,"provide excellence in care, healing and health to the individuals and communities we serve."
Edward W Sparrow Hospital Association,501(c)(3) Public Charity,"Lansing, MI",38-1360584,"improving the health of the people in our communities by providing quality, compassionate care to everyone, every time."
Bronson Methodist Hospital,501(c)(3) Public Charity,"Kalamazoo, MI",38-1359087,"together, we advance the health of our communities"
Ascension St John Hospital,501(c)(3) Public Charity,"Warren, MI",38-1359063,"our mission as part of a catholic health care system is to further the healing ministry of jesus by continually improving the health and well-being of all people, especially the poor, in the communities we serve."
Spectrum Health System,501(c)(3) Public Charity,"Grand Rapids, MI",38-3382353,to improve the health of the communities we serve.
Ascension Providence Hospital,501(c)(3) Public Charity,"Southfield, MI",38-1358212,"our mission as part of a catholic health care system is to further the healing ministry of jesus by continually improving the health and well-being of all people, especially the poor, in the communities we serve."
McLaren Health Plan Inc,501(c)(4) Civic Leagues and Social Welfare Organizations,"Flint, MI",38-3252216,"enhance our members' health status in the communities we serve by promoting: 1. preventive care and well-being; 2. access to quality health services; 3. strong relationships with our members, providers, and employers."
Covenant Medical Center Inc,501(c)(3) Public Charity,"Saginaw, MI",38-3369438,to provide diverse medical care to meet the heatlh care needs of the 14 counties in east central michigan we serve.
Mercy Health Partners,501(c)(3) Public Charity,"Muskegon, MI",38-2589966,"we, mercy health and trinity health, serve together in the spirit of the gospel as a compassionate and transforming healing presence within our communities.mercy health partners is a member of mercy health and trinity health."
MUNSON MEDICAL CENTER,501(c)(3) Public Charity,"Traverse City, MI",38-1362830,munson medical center and its partners will work together to provide superior quality care and promote community health.
Allegiance Health,501(c)(3) Public Charity,"Detroit, MI",38-2027689,"see schedule oour missionwe lead our community to better health and well-being at every stage of life.our valuescompetence: expertise in carrying out responsibilities and inspiring others to have confidence in you.integrity: behavior that is honest, fair, trustworthy and sincere, strength of character and respect for others.teamwork: working together in an environment of mutual respect.diversity: respect for individual beliefs, uniqueness, and differences.quality: committment to excellence in care.compassion: acknowledging the feelings of others with empathy, support, encouragement, and sensitivity. listening and responding to individual needs in a patient and caring manner.customer service: taking pride in providing service beyond expectations.healing environment: providing an environment that promotes an atmosphere of trust, comfort, healing and security"
